CIKKSZAM;MEGN;MENYEGY;BESZAR;ELADAR;AFASZAZ;AKTKESZ;TORT
4000107;. 3 BIT 41G XL;DB;62,87;99;25;39;HAMIS
4000069;. 3 BIT 43G INVERSO;DB;32,5;55;25;4;HAMIS
4000064;. 3 BIT 51G XXL;DB;78,29;125;25;-1;HAMIS
5700072;ABONETT 100G KUKORIC.GLUT;DB;168,22;259;18;0;HAMIS
5700071;ABONETT 125G NATUR;DB;168,22;259;18;0;HAMIS
5700038;ABONETT 100G GLUTENMENTE;DB;168,22;259;18;8;HAMIS
5700070;ABONETT 100G KORPAS;DB;168,22;259;18;12;HAMIS
2130009;ACTIVIA 125G IZEK;DB;65,94;99;18;399;HAMIS
2120063;ACTIVIA DRINK 270G;DB;118,91;179;18;5;HAMIS
2130107;ACTIVIA EDESFEHER 125G;DB;57,63;89;18;-30;HAMIS
2130123;ACTIVIA EDESFEHER 4*125G;DB;214,29;339;18;0;HAMIS
2130066;ACTIVIA GYUMOLCS 4*125G;DB;156,1;449;18;0;HAMIS
2120078;ACTIVIA KAUKAZUSI;DB;173,9;269;18;0;HAMIS
2130008;ACTIVIA NATUR 125G;DB;57,63;89;18;15;HAMIS
2130056;ACTIVIA NATUR 4*125G;DB;214,29;339;18;-1;HAMIS
1300021;ADAMBRAU 0,5L DOBOZ;DB;93,84;145;25;8;HAMIS
1300014;ADAMBRAU 0,5L PALACK;DB;70,35;109;25;0;HAMIS
7500010;ADIDAS 51G DEO STIFT;DB;394,49;799;25;3;HAMIS
7500012;ADIDAS 55G DEO GOLYOS;DB;520,47;799;25;2;HAMIS
7500007;ADIDAS FFI DEO SPRAY;DB;380;649;25;3;HAMIS
7250013;ADIDAS TUSFURDO 250ML;DB;446,3;649;25;1;HAMIS
5040040;ADRENALIN 250ML;DB;79;129;25;21;HAMIS
6300007;ADRIENN 1L OBLITO;DB;88;129;25;1;HAMIS
4950006;ADVENTI KALENDARIUM 50G;DB;161,25;249;25;0;HAMIS
4100018;AFTER EIGHT 200G;DB;596,63;949;25;5;HAMIS
9550036;AGYNEMU GARN.3 RESZES;DB;1021,25;1539;25;8;HAMIS
2570001;AHIDA ASZPIKOS PU.SONKA;KG;769;1190;25;0,082;IGAZ
2570010;AHIDA BAROMFI LONCS;KG;429;699;25;0;IGAZ
2570008;AHIDA FUSTOLT CSMELL SONK;KG;629;1250;25;0;IGAZ
2570002;AHIDA MEXIKOI CSEMEGE;KG;487;899;25;0;IGAZ
2570009;AHIDA PU.MELLSONKA;KG;786;999;25;0,792;IGAZ
2570000;AHIDA PULYKA PIZZA SONKA;KG;543;899;25;0,95;IGAZ
2570005;AHIDA PULYKA TOP SONKA KG;KG;759;899;25;-1,29;IGAZ
2570007;AHIDA SAJTOS-TAVASZI KG;KG;675;1099;25;0,412;IGAZ
2460045;AHIDA TOP CSIRKE MELLSONK;KG;845,74;1599;25;0,196;IGAZ
6600005;AIR WICK ELECTRICAL+ UT;DB;1065,28;1599;25;0;HAMIS
6600003;AIR WICK FRESH MATIC;DB;1065,28;1299;25;0;HAMIS
6600023;AIR WICK SPRAY NYARI;DB;307,9;499;25;0;HAMIS
6600025;AIR WICK SPRAY TROPUSI;DB;304,65;499;25;0;HAMIS
6600009;AIR WICK SPRAY VIRAG;DB;307,91;499;25;0;HAMIS
4800003;AIRWAVES DROPS CHERRY;DB;87,06;159;25;8;HAMIS
4800014;AIRWAVES DROPS MENTH&EUK;DB;86,05;159;25;33;HAMIS
4800045;AIRWAVES BLACK MINT;DB;89,74;159;25;61;HAMIS
4800041;AIRWAVES FEKETERIBIZLI;DB;97,64;159;25;80;HAMIS
4800026;AIRWAVES MENTOL-EUKA;DB;92,29;159;25;206;HAMIS
4800012;AIRWAVES DRAZSE GREEN MIN;DB;92,04;159;25;69;HAMIS
9590018;AJANDEK TASAK KOZEPES;DB;80,68;299;25;0;HAMIS
9590012;AJANDEK TASAK ZSINOROS;DB;90,3;159;25;94;HAMIS
8990007;AJANDEK TASKA;DB;209;349;25;59;HAMIS
8990009;AJANDEK TASKA ITAL;DB;130,2;219;25;53;HAMIS
8990008;AJANDEK TASKA KOZEP/ITAL;DB;113,5;199;25;53;HAMIS
8990011;AJANDEK TASKA ORIAS;DB;230,83;399;25;5;HAMIS
9590000;AJANDEKKOSAR KICSI;DB;322,5;699;25;1;HAMIS
9590013;AJANDEKKOSAR 500FT;DB;344;500;25;-3;HAMIS
9590001;AJANDEKKOSAR 1500FT;DB;387;1500;25;0;HAMIS
6400016;AJAX F.FIESTA 750ML LILA;DB;308,52;439;25;0;HAMIS
6400089;AJAX F.FIESTA 750ML RED;DB;290,45;439;25;1;HAMIS
6400091;AJAX F.FIESTA 750ML TURK;DB;278,66;439;25;0;HAMIS
6400042;AJAX F.FIESTA 750ML ZOLD;DB;272,35;439;25;-1;HAMIS
6400043;AJAX FOLY.SUROLO 250ML SP;DB;175,2;279;25;0;HAMIS
6400018;AJAX LEMOSO 750ML BS NARA;DB;279,17;429;25;0;HAMIS
6400022;AJAX LEMOSO 750ML BS ZOLD;DB;254,17;429;25;0;HAMIS
5651001;AKACMEZ 100G TUBUS;DB;136,5;189;25;0;HAMIS
5651004;AKACMEZ 150G TUBUS;DB;203,04;329;25;4;HAMIS
5651007;AKACMEZ 250G;DB;259,07;389;25;0;HAMIS
5651006;AKACMEZ 250G MACIS;DB;346,68;549;25;1;HAMIS
5651002;AKACMEZ 500G MINOSEG MAGY;DB;478,38;719;25;0;HAMIS
3100029;ALBA REGIA 500G FODR.NK.;DB;156,9;239;25;24;HAMIS
3100000;ALBA REGIA 500G SPAGETTI;DB;160,17;239;25;22;HAMIS
4300131;ALBERT 110G CLASSIC;DB;96,01;149;25;0;HAMIS
4300133;ALBERT 220G CLASSIC;DB;174,48;269;25;17;HAMIS
1130000;ALDOMAS SZ.ITALOK 0,04L;DB;81,84;125;25;94;HAMIS
2400151;ALETTA BAR.VIRSLI 180G;DB;0;199;25;-11;HAMIS
2400025;ALETTA BAR.VIRSLI 240G;DB;142,88;229;25;13;HAMIS
2400148;ALETTA BAR.VIRSLI SAJT180;DB;128;199;25;0;HAMIS
2400146;ALETTA BAROMFI PARIZSI;KG;428;799;25;0,01;IGAZ
5030022;ALFOLD ARANYA 5L ALMALE;DB;900;1699;25;1;HAMIS
5030107;ALFOLD ARANYA 5L MEGGYLE;DB;1550;2190;25;1;HAMIS
2300025;ALGIDA KREMKONNYU CSOKI;DB;442,16;649;25;3;HAMIS
2300026;ALGIDA KREMKONNYU EPER;DB;416,16;649;25;4;HAMIS
2300007;ALGIDA KREMKONNYU PUNCS;DB;418,2;649;25;2;HAMIS
2300001;ALGIDA KREMKONNYU VANIL;DB;431,77;649;25;2;HAMIS
2300005;ALGIDA LIGHT CSOKI-VAN;DB;398;699;25;0;HAMIS
2300017;ALGIDA +++BIG TRIO;DB;85,5;160;25;0;HAMIS
2300060;ALGIDA +++CIKK-CAKK;DB;91,29;160;25;0;HAMIS
2300064;ALGIDA +++KOLORKI;DB;0;79;25;0;HAMIS
2300058;ALGIDA +++KREMKONNYU CSOK;DB;66,19;120;25;9;HAMIS
2300062;ALGIDA +++KREMKONNYU EPER;DB;66,28;120;25;1;HAMIS
2300021;ALGIDA +++KREMKONNYU PU;DB;70,91;120;25;-3;HAMIS
2300049;ALGIDA +++KREMKONNYU VAN;DB;68,75;120;25;8;HAMIS
2300039;ALGIDA +++NOGGER;DB;96,28;190;25;0;HAMIS
2300056;ALGIDA +++ROMERO;DB;101,4;180;25;0;HAMIS
2300084;ALGIDA +++SPORT XL+++56ML;DB;83;159;25;0;HAMIS
2300024;ALGIDA +++SPORT;DB;83,51;160;25;1;HAMIS
2300042;ALGIDA +++STRAC.SZENDVICS;DB;104,18;160;25;25;HAMIS
2300040;ALGIDA +++TURO ICE LIGHT;DB;78,85;140;25;0;HAMIS
2300018;ALGIDA +++TURO ICE XL;DB;67,25;140;25;0;HAMIS
2300010;ALGIDA CALIPPO EPER;DB;153;230;25;9;HAMIS
2300075;ALGIDA CALIPPO LIME;DB;159,37;230;25;0;HAMIS
2300012;ALGIDA CORNETTO CLASSICO;DB;159,34;250;25;4;HAMIS
2300014;ALGIDA CORNETTO CSOKOLADE;DB;130,29;250;25;0;HAMIS
2300013;ALGIDA CORNETTO EPER;DB;158,58;250;25;12;HAMIS
2300016;ALGIDA CORNETTO IT. CSOKI;DB;161,29;300;25;0;HAMIS
2300019;ALGIDA CORNETTO IT. MASCA;DB;198,52;300;25;9;HAMIS
2300002;ALGIDA MAGNUM CLASSIC;DB;212,75;350;25;20;HAMIS
2300006;ALGIDA MAGNUM DUPLA CARAM;DB;210,6;350;25;12;HAMIS
2300015;ALGIDA MAGNUM DUPLA CSOKI;DB;198,35;350;25;0;HAMIS
2300009;ALGIDA MAGNUM ECUADOR DAR;DB;175,84;350;25;0;HAMIS
2300004;ALGIDA MAGNUM FEHER;DB;212,73;350;25;13;HAMIS
2300003;ALGIDA MAGNUM MANDULA;DB;213,17;350;25;4;HAMIS
2300008;ALGIDA MAGNUM MAYAN;DB;190,87;350;25;0;HAMIS
2300000;ALGIDA MAGNUM MOGYORO;DB;221,61;350;25;8;HAMIS
2300027;ALGIDA MAGNUM YOGHURT FRE;DB;208,81;350;25;7;HAMIS
2300028;ALGIDA SOLERO BANAN-FRIBI;DB;0;260;25;0;HAMIS
2300047;ALGIDA VIENETTA CSOKIS;DB;380;699;25;7;HAMIS
2300020;ALGIDA VIENETTA EPER;DB;380,99;699;25;8;HAMIS
2300035;ALGIDA VIENETTA VANILIA;DB;382;699;25;5;HAMIS
3600081;ALMA BEFOTT 280G DIABETIK;DB;193,72;299;25;0;HAMIS
3600033;ALMA BEFOTT 370G VITL;DB;158;229;25;0;HAMIS
3600054;ALMA BEFOTT 380G VITAMOR;DB;178,92;349;25;0;HAMIS
3600040;ALMA BEFOTT 700G MATRA;DB;140,6;219;25;20;HAMIS
3600036;ALMA BEFOTT 720ML REGE;DB;156,67;269;25;0;HAMIS
